source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds004169	MRIQC-23.0.1	sub-0001	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0002	ses-01	2	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0002	ses-02	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0003	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0004	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0005	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0008	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0009	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0012	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0013	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0015	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0017	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0019	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0020	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0021	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0022	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0023	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0025	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0026	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0027	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0028	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0029	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0030	ses-01	2	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0031	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0032	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0033	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0034	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0035	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0037	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0039	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0040	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0041	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0042	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0044	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0045	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0046	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0047	ses-01	2	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0048	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0049	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0050	ses-01	2	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0051	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0051	ses-02	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0054	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0056	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0058	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0061	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0062	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0063	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0064	ses-01	2	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0065	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0067	ses-01	1	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0068	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0070	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0071	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0071	ses-02	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0072	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0073	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0075	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0076	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0076	ses-02	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0077	ses-01	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0077	ses-02	3	0	0	0	0
ds004169	MRIQC-23.0.1	sub-0079	ses-01	3	0	0	0	0
